Year,Month,Day,Hour,BEBE
2023,1,11,12,0.713682875
2023,1,11,13,0.71300175
2023,1,11,14,0.71454865
2023,1,11,15,0.7131815
2023,1,11,16,0.714311
2023,1,11,17,0.7127276
2023,1,11,18,0.713510425
2023,1,11,19,0.71384905
2023,1,11,20,0.7137961
2023,1,11,21,0.71386905
2023,1,11,22,0.712942725
2023,1,11,23,0.71455165
2023,1,12,0,0.7131486
2023,1,12,1,0.71353665
2023,1,12,2,0.712259925
2023,1,12,3,0.714190325
2023,1,12,4,0.712617025
2023,1,12,5,0.713846875
2023,1,12,6,0.71283245
2023,1,12,7,0.713015975
2023,1,12,8,0.713465825
2023,1,12,9,0.713479025
2023,1,12,10,0.711916625
2023,1,12,11,0.713523575
2023,1,12,12,0.712184325
2023,1,12,13,0.7131862
2023,1,12,14,0.71185155
2023,1,12,15,0.713242975
2023,1,12,16,0.71279895
2023,1,12,17,0.7126006
2023,1,12,18,0.7129732
2023,1,12,19,0.71305515
2023,1,12,20,0.7127499
2023,1,12,21,0.71276615
2023,1,12,22,0.712984
2023,1,12,23,0.71232965
2023,1,13,0,0.712947475
2023,1,13,1,0.712383525
2023,1,13,2,0.714355925
2023,1,13,3,0.71270965
2023,1,13,4,0.71218495
2023,1,13,5,0.711908275
2023,1,13,6,0.7144306
2023,1,13,7,0.71355665
2023,1,13,8,0.7139287
2023,1,13,9,0.713394675
2023,1,13,10,0.71477265
2023,1,13,11,0.7147548
2023,1,13,12,0.714727675
2023,1,13,13,0.716337675
2023,1,13,14,0.7164597
2023,1,13,15,0.717088525
2023,1,13,16,0.7174482
2023,1,13,17,0.717618525
2023,1,13,18,0.71788095
2023,1,13,19,0.718236425
2023,1,13,20,0.718636425
2023,1,13,21,0.7186458
2023,1,13,22,0.7201283
2023,1,13,23,0.71937135
2023,1,14,0,0.719510175
2023,1,14,1,0.7179763
2023,1,14,2,0.718863275
2023,1,14,3,0.7175397
2023,1,14,4,0.7179095
2023,1,14,5,0.716533375
2023,1,14,6,0.716714875
2023,1,14,7,0.71714085
2023,1,14,8,0.71527965
2023,1,14,9,0.7152216
2023,1,14,10,0.716190475
2023,1,14,11,0.715879175
2023,1,14,12,0.71693225
2023,1,14,13,0.7150239
2023,1,14,14,0.7151789
2023,1,14,15,0.714295575
2023,1,14,16,0.71423395
2023,1,14,17,0.7151237
2023,1,14,18,0.7139509
2023,1,14,19,0.714833625
2023,1,14,20,0.7145801
2023,1,14,21,0.714973875
2023,1,14,22,0.714435325
2023,1,14,23,0.714591525
2023,1,15,0,0.715360425
2023,1,15,1,0.71427135
2023,1,15,2,0.713663675
2023,1,15,3,0.713714975
2023,1,15,4,0.714068625
2023,1,15,5,0.7134939
2023,1,15,6,0.714121025
2023,1,15,7,0.71379465
2023,1,15,8,0.713866525
2023,1,15,9,0.714929775
2023,1,15,10,0.7130834
2023,1,15,11,0.71472975
2023,1,15,12,0.712600275
2023,1,15,13,0.713561975
2023,1,15,14,0.71418195
2023,1,15,15,0.71335515
2023,1,15,16,0.713936975
2023,1,15,17,0.713755925
2023,1,15,18,0.71325545
2023,1,15,19,0.713648675
2023,1,15,20,0.713108025
2023,1,15,21,0.713766325
2023,1,15,22,0.7145207
2023,1,15,23,0.712838325
2023,1,16,0,0.713730525
2023,1,16,1,0.71286595
2023,1,16,2,0.713296425
2023,1,16,3,0.714115675
2023,1,16,4,0.71266485
2023,1,16,5,0.713641125
2023,1,16,6,0.713060225
2023,1,16,7,0.7138278
2023,1,16,8,0.7136773
2023,1,16,9,0.712885925
2023,1,16,10,0.712015325
2023,1,16,11,0.71300935
2023,1,16,12,0.712086675
2023,1,16,13,0.71298905
2023,1,16,14,0.7137951
2023,1,16,15,0.713339
2023,1,16,16,0.712214425
2023,1,16,17,0.71240105
2023,1,16,18,0.7126254
2023,1,16,19,0.71222195
2023,1,16,20,0.712136825
2023,1,16,21,0.714570125
2023,1,16,22,0.712959575
2023,1,16,23,0.713556325
2023,1,17,0,0.712595525
2023,1,17,1,0.713016825
2023,1,17,2,0.714247775
2023,1,17,3,0.712443325
2023,1,17,4,0.712925475
2023,1,17,5,0.712663925
2023,1,17,6,0.713566
2023,1,17,7,0.7126474
2023,1,17,8,0.712392475
2023,1,17,9,0.71177615
2023,1,17,10,0.713141
2023,1,17,11,0.7128383
2023,1,17,12,0.712823
2023,1,17,13,0.7123026
2023,1,17,14,0.713424275
2023,1,17,15,0.71171645
2023,1,17,16,0.713522525
2023,1,17,17,0.71271695
2023,1,17,18,0.712087075
2023,1,17,19,0.7116686
2023,1,17,20,0.7135299
2023,1,17,21,0.7124469
2023,1,17,22,0.71314465
2023,1,17,23,0.713576125
2023,1,18,0,0.713206975
2023,1,18,1,0.713797
2023,1,18,2,0.713688225
2023,1,18,3,0.7137061
2023,1,18,4,0.712883
2023,1,18,5,0.713591575
2023,1,18,6,0.7119006
2023,1,18,7,0.713379675
2023,1,18,8,0.713315
2023,1,18,9,0.713035375
2023,1,18,10,0.713825175
2023,1,18,11,0.712719025
2023,1,18,12,0.713944425
2023,1,18,13,0.712353175
2023,1,18,14,0.7137254
2023,1,18,15,0.71336735
2023,1,18,16,0.714668025
2023,1,18,17,0.713533325
2023,1,18,18,0.7142075
2023,1,18,19,0.712945575
2023,1,18,20,0.7148086
2023,1,18,21,0.714233325
2023,1,18,22,0.714007325
2023,1,18,23,0.714172675
2023,1,19,0,0.715236325
2023,1,19,1,0.714135425
2023,1,19,2,0.714531
2023,1,19,3,0.7147681
2023,1,19,4,0.713651725
2023,1,19,5,0.715334625
2023,1,19,6,0.714337775
2023,1,19,7,0.715760625
2023,1,19,8,0.715279225
2023,1,19,9,0.715185275
2023,1,19,10,0.7141863
2023,1,19,11,0.715399525
2023,1,19,12,0.71514235
2023,1,19,13,0.71443975
2023,1,19,14,0.71491955
2023,1,19,15,0.7169805
2023,1,19,16,0.95388695
2023,1,19,17,1.01709475
2023,1,19,18,1.07605125
2023,1,19,19,1.07936675
2023,1,19,20,1.0237535
2023,1,19,21,1.02459625
2023,1,19,22,1.02639875
2023,1,19,23,1.02787
2023,1,20,0,1.028287333
2023,1,20,1,1.02807
2023,1,20,2,0.976460975
2023,1,20,3,0.961105225
2023,1,20,4,0.962699625
2023,1,20,5,0.962569725
2023,1,20,6,0.963464375
