Year,Month,Day,Hour,CORN1,CORN2
2023,1,21,7,12.20636971,0
2023,1,21,8,12.23825624,0
2023,1,21,9,12.170755,0
2023,1,21,10,12.49269,0
2023,1,21,11,13.01524014,0
2023,1,21,12,13.5526708,0
2023,1,21,13,13.87017875,0
2023,1,21,14,14.04990407,0
2023,1,21,15,14.32993833,0
2023,1,21,16,14.53360362,0
2023,1,21,17,14.72371789,0
2023,1,21,18,14.78237994,0
2023,1,21,19,14.83615552,0
2023,1,21,20,14.8817433,0
2023,1,21,21,14.72727212,0
2023,1,21,22,14.82685458,0
2023,1,21,23,14.5666945,0
2023,1,22,0,14.29185482,0
2023,1,22,1,13.91034196,0
2023,1,22,2,13.47660952,0
2023,1,22,3,13.0691622,0
2023,1,22,4,12.62350271,0
2023,1,22,5,12.38527866,0
2023,1,22,6,12.33166838,0
2023,1,22,7,12.27429774,0
2023,1,22,8,12.19766843,0
2023,1,22,9,12.01014198,0
2023,1,22,10,12.36443382,0
2023,1,22,11,13.03440194,0
2023,1,22,12,13.59818782,0
2023,1,22,13,13.93042272,0
2023,1,22,14,14.14917056,0
2023,1,22,15,14.30209844,0
2023,1,22,16,14.50712574,0
2023,1,22,17,14.5776437,0
2023,1,22,18,14.74183659,0
2023,1,22,19,14.78868297,0
2023,1,22,20,14.82298142,0
2023,1,22,21,14.77269596,0
2023,1,22,22,14.98638081,0
2023,1,22,23,14.80085081,0
2023,1,23,0,14.45446439,0
2023,1,23,1,14.08221676,0
2023,1,23,2,13.67215344,0
2023,1,23,3,13.2200639,0
2023,1,23,4,12.85086645,0
2023,1,23,5,12.59326809,0
2023,1,23,6,12.349432,0
2023,1,23,7,12.41844998,0
2023,1,23,8,12.45854215,0
2023,1,23,9,12.67054556,0
2023,1,23,10,13.10875364,0
2023,1,23,11,14.07579499,0
2023,1,23,12,15.23690031,0
2023,1,23,13,16.14345371,0
2023,1,23,14,16.78543155,0
2023,1,23,15,17.33467328,0
2023,1,23,16,17.47313918,0
2023,1,23,17,17.6274417,0
2023,1,23,18,17.9145428,0
2023,1,23,19,17.83576038,0
2023,1,23,20,17.6987692,0
2023,1,23,21,17.4392981,0
2023,1,23,22,17.0138208,0
2023,1,23,23,16.25482428,0
2023,1,24,0,15.65994178,0
2023,1,24,1,14.81824844,0
2023,1,24,2,14.36982061,0
2023,1,24,3,13.8068028,0
2023,1,24,4,13.12570989,0
2023,1,24,5,12.67604369,0
2023,1,24,6,12.54896749,0
2023,1,24,7,12.49541265,0
2023,1,24,8,12.29895573,0
2023,1,24,9,12.64278388,0
2023,1,24,10,13.48086495,0
2023,1,24,11,14.33347884,0
2023,1,24,12,15.37167639,0
2023,1,24,13,16.42422537,0
2023,1,24,14,17.24055125,0
2023,1,24,15,17.67267922,0
2023,1,24,16,18.0178947,0
2023,1,24,17,17.8323028,0
2023,1,24,18,17.87001945,0
2023,1,24,19,17.8181786,0
2023,1,24,20,17.66769225,0
2023,1,24,21,17.50127983,0
2023,1,24,22,16.95841243,0
2023,1,24,23,16.34512403,0
2023,1,25,0,15.58086263,0
2023,1,25,1,14.89383356,0
2023,1,25,2,14.38981053,0
2023,1,25,3,13.71827291,0
2023,1,25,4,13.01114218,0
2023,1,25,5,12.78466262,0
2023,1,25,6,12.58950002,0
2023,1,25,7,12.3466379,0
2023,1,25,8,12.39839173,0
2023,1,25,9,12.77527414,0
2023,1,25,10,13.48003197,0
2023,1,25,11,14.60006854,0
2023,1,25,12,15.4007435,0
2023,1,25,13,16.56732143,0
2023,1,25,14,17.29322283,0
2023,1,25,15,17.67061093,0
2023,1,25,16,17.97370863,0
2023,1,25,17,17.8302321,0
2023,1,25,18,17.88535635,0
2023,1,25,19,17.9069289,0
2023,1,25,20,17.61467188,0
2023,1,25,21,17.45857228,0
2023,1,25,22,17.15731855,0
2023,1,25,23,16.5880183,0
2023,1,26,0,15.84938195,0
2023,1,26,1,14.97571925,0
2023,1,26,2,14.66630559,0
2023,1,26,3,13.87884579,0
