,Generator,Time,Value
223,NYS_Grid,56,1.7232547769999655
224,NYS_Grid,57,1.7324202434992912
225,NYS_Grid,58,1.7815098735009087
226,NYS_Grid,59,1.8756916199999978
227,NYS_Grid,60,2.0139831614997092
228,NYS_Grid,61,2.073631364999528
229,NYS_Grid,62,2.1750580125008128
230,NYS_Grid,63,2.2516107329993247
231,NYS_Grid,64,2.2952471129992773
232,NYS_Grid,65,2.280069457499849
233,NYS_Grid,66,2.2812909674994444
234,NYS_Grid,67,2.271338096999898
235,NYS_Grid,68,2.2294760504992155
236,NYS_Grid,69,2.22775492350047
237,NYS_Grid,70,2.1865935120003996
238,NYS_Grid,71,2.116785811500449
239,NYS_Grid,72,2.0198906759997044
240,Cornell_CUBO,49,0.0
241,Cornell_CUBO,50,0.0
242,Cornell_CUBO,51,0.0
243,Cornell_CUBO,52,0.0
244,Cornell_CUBO,53,0.0
245,Cornell_CUBO,54,0.0
246,Cornell_CUBO,55,0.0
247,Cornell_CUBO,56,0.0
248,Cornell_CUBO,57,0.0
249,Cornell_CUBO,58,0.0
250,Cornell_CUBO,59,0.0
251,Cornell_CUBO,60,0.0
252,Cornell_CUBO,61,0.0
253,Cornell_CUBO,62,0.0
254,Cornell_CUBO,63,0.0
255,Cornell_CUBO,64,0.0
256,Cornell_CUBO,65,0.0
257,Cornell_CUBO,66,0.0
258,Cornell_CUBO,67,0.0
259,Cornell_CUBO,68,0.0
260,Cornell_CUBO,69,0.0
261,Cornell_CUBO,70,0.0
262,Cornell_CUBO,71,0.0
263,Cornell_CUBO,72,0.0
264,Cornell_Hydrogen,49,0.0
265,Cornell_Hydrogen,50,0.0
266,Cornell_Hydrogen,51,0.0
267,Cornell_Hydrogen,52,0.0
268,Cornell_Hydrogen,53,0.0
269,Cornell_Hydrogen,54,0.0
270,Cornell_Hydrogen,55,0.0
271,Cornell_Hydrogen,56,0.0
272,Cornell_Hydrogen,57,0.0
273,Cornell_Hydrogen,58,0.0
274,Cornell_Hydrogen,59,0.0
275,Cornell_Hydrogen,60,0.0
276,Cornell_Hydrogen,61,0.0
277,Cornell_Hydrogen,62,0.0
278,Cornell_Hydrogen,63,0.0
279,Cornell_Hydrogen,64,0.0
280,Cornell_Hydrogen,65,0.0
281,Cornell_Hydrogen,66,0.0
282,Cornell_Hydrogen,67,0.0
283,Cornell_Hydrogen,68,0.0
284,Cornell_Hydrogen,69,0.0
285,Cornell_Hydrogen,70,0.0
286,Cornell_Hydrogen,71,0.0
287,Cornell_Hydrogen,72,0.0
288,Cornell_CEP,73,0.0
289,Cornell_CEP,74,0.0
290,Cornell_CEP,75,0.0
291,Cornell_CEP,76,0.0
292,Cornell_CEP,77,0.0
293,Cornell_CEP,78,0.0
294,Cornell_CEP,79,0.0
295,Cornell_CEP,80,0.0
296,Cornell_CEP,81,0.0
297,Cornell_CEP,82,0.0
298,Cornell_CEP,83,0.0
299,Cornell_CEP,84,0.0
300,Cornell_CEP,85,0.0
301,Cornell_CEP,86,0.0
302,Cornell_CEP,87,0.0
303,Cornell_CEP,88,0.0
304,Cornell_CEP,89,0.0
305,Cornell_CEP,90,0.0
306,Cornell_CEP,91,0.0
307,Cornell_CEP,92,0.0
308,Cornell_CEP,93,0.0
309,Cornell_CEP,94,0.0
310,Cornell_CEP,95,0.0
311,Cornell_CEP,96,0.0
312,NYS_Grid,73,1.93991266500052
313,NYS_Grid,74,1.8712920465004572
314,NYS_Grid,75,1.8286299525007053
315,NYS_Grid,76,1.7691143459996965
316,NYS_Grid,77,1.7247189779991459
317,NYS_Grid,78,1.7230390770000668
318,NYS_Grid,79,1.715441988000748
319,NYS_Grid,80,1.7307022829991183
320,NYS_Grid,81,1.7279642909998074
321,NYS_Grid,82,1.7642096684994613
322,NYS_Grid,83,1.8419264775002375
323,NYS_Grid,84,1.94528179649933
324,NYS_Grid,85,2.088517853999292
325,NYS_Grid,86,2.1699503069994535
326,NYS_Grid,87,2.222696704500777
327,NYS_Grid,88,2.2656976455000404
328,NYS_Grid,89,2.286660922500232
329,NYS_Grid,90,2.2733181719995628
330,NYS_Grid,91,2.2668938744991465
331,NYS_Grid,92,2.2482880695006315
332,NYS_Grid,93,2.2337657879998005
