,Generator,Time,Value
245,Cornell_CUBO,54,3.0
246,Cornell_CUBO,55,3.0
247,Cornell_CUBO,56,3.0
248,Cornell_CUBO,57,0.0
249,Cornell_CUBO,58,0.0
250,Cornell_CUBO,59,0.0
251,Cornell_CUBO,60,0.0
252,Cornell_CUBO,61,0.0
253,Cornell_CUBO,62,0.0
254,Cornell_CUBO,63,0.0
255,Cornell_CUBO,64,0.0
256,Cornell_CUBO,65,3.0
257,Cornell_CUBO,66,3.0
258,Cornell_CUBO,67,3.0
259,Cornell_CUBO,68,3.0
260,Cornell_CUBO,69,3.0
261,Cornell_CUBO,70,3.0
262,Cornell_CUBO,71,3.0
263,Cornell_CUBO,72,3.0
264,Cornell_Hydrogen,49,9.648218798648648
265,Cornell_Hydrogen,50,9.23347804527027
266,Cornell_Hydrogen,51,8.900200447297296
267,Cornell_Hydrogen,52,8.965923739864865
268,Cornell_Hydrogen,53,8.838571555405405
269,Cornell_Hydrogen,54,8.742232655405404
270,Cornell_Hydrogen,55,8.68157260608108
271,Cornell_Hydrogen,56,7.756635723648649
272,Cornell_Hydrogen,57,0.0
273,Cornell_Hydrogen,58,0.0
274,Cornell_Hydrogen,59,0.0
275,Cornell_Hydrogen,60,0.0
276,Cornell_Hydrogen,61,0.0
277,Cornell_Hydrogen,62,0.0
278,Cornell_Hydrogen,63,0.0
279,Cornell_Hydrogen,64,0.0
280,Cornell_Hydrogen,65,1.0178254770270263
281,Cornell_Hydrogen,66,12.726272827702703
282,Cornell_Hydrogen,67,12.655699052702701
283,Cornell_Hydrogen,68,12.354553434459458
284,Cornell_Hydrogen,69,12.340682040540539
285,Cornell_Hydrogen,70,12.044107493918917
286,Cornell_Hydrogen,71,11.540412456756757
287,Cornell_Hydrogen,72,10.841909337837837
288,Cornell_CEP,73,0.0
289,Cornell_CEP,74,0.0
290,Cornell_CEP,75,0.0
291,Cornell_CEP,76,0.0
292,Cornell_CEP,77,0.0
293,Cornell_CEP,78,0.0
294,Cornell_CEP,79,0.0
295,Cornell_CEP,80,0.0
296,Cornell_CEP,81,0.0
297,Cornell_CEP,82,0.0
298,Cornell_CEP,83,0.0
299,Cornell_CEP,84,0.0
300,Cornell_CEP,85,0.0
301,Cornell_CEP,86,0.0
302,Cornell_CEP,87,0.0
303,Cornell_CEP,88,0.0
304,Cornell_CEP,89,0.0
305,Cornell_CEP,90,0.0
306,Cornell_CEP,91,0.0
307,Cornell_CEP,92,0.0
308,Cornell_CEP,93,0.0
309,Cornell_CEP,94,0.0
310,Cornell_CEP,95,0.0
311,Cornell_CEP,96,0.0
312,NYS_Grid,73,0.0
313,NYS_Grid,74,0.0
314,NYS_Grid,75,0.0
315,NYS_Grid,76,0.0
316,NYS_Grid,77,0.0
317,NYS_Grid,78,0.0
318,NYS_Grid,79,0.0
319,NYS_Grid,80,0.0
320,NYS_Grid,81,0.0
321,NYS_Grid,82,0.0
322,NYS_Grid,83,0.0
323,NYS_Grid,84,0.0
324,NYS_Grid,85,0.0
325,NYS_Grid,86,0.0
326,NYS_Grid,87,0.0
327,NYS_Grid,88,0.0
328,NYS_Grid,89,0.0
329,NYS_Grid,90,0.0
330,NYS_Grid,91,0.0
331,NYS_Grid,92,0.0
332,NYS_Grid,93,0.0
333,NYS_Grid,94,0.0
334,NYS_Grid,95,0.0
335,NYS_Grid,96,0.0
